key,Style_Key,ABV,Avg_Rating,Min_IBU,Max_IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
3916,90,4.6,3.55,20,40,20,99,14,54,74,11,1,9,25,3,123
3917,90,6.0,3.71,20,40,11,63,9,67,62,15,0,19,48,8,96
3918,90,6.5,3.87,20,40,8,152,30,39,127,15,0,13,25,132,136
3919,90,5.3,4.01,20,40,5,102,7,40,65,10,0,7,18,6,101
3920,90,5.0,3.57,20,40,5,26,2,8,14,4,9,2,5,0,24
3921,90,4.5,3.78,20,40,20,92,13,63,46,18,0,13,41,8,115
3922,90,5.2,3.84,20,40,21,102,6,81,59,11,0,10,48,11,129
3923,90,4.5,3.65,20,40,15,83,8,39,57,20,0,32,23,9,75
3924,90,4.2,3.16,20,40,14,35,0,24,18,2,0,0,19,5,42
3925,90,8.0,3.76,20,40,13,70,50,105,53,7,0,8,13,20,176
3926,90,6.6,4.11,20,40,21,115,14,63,49,7,0,2,19,19,140
3927,90,4.9,3.97,20,40,11,72,3,52,35,18,0,21,29,13,83
3928,90,5.5,3.87,20,40,4,83,7,52,202,6,0,14,18,18,211
3929,90,5.5,3.59,20,40,15,77,7,24,37,6,13,5,13,6,57
3930,90,5.5,3.66,20,40,12,76,11,51,49,12,1,7,17,15,93
3931,90,4.5,3.65,20,40,18,89,9,89,61,10,0,13,32,19,125
3932,90,6.0,3.85,20,40,15,101,7,113,58,16,1,25,55,18,131
3933,90,4.5,4.13,20,40,18,111,10,50,48,5,0,5,23,12,99
3934,90,6.4,3.36,20,40,17,93,3,77,45,12,0,13,45,10,115
3935,90,4.8,3.89,20,40,10,83,6,87,48,4,0,3,30,12,139
3936,90,6.8,3.82,20,40,11,59,57,40,39,7,0,6,15,21,108
3937,90,6.0,3.75,20,40,8,96,4,33,59,2,17,2,31,3,87
3938,90,6.9,3.87,20,40,9,48,4,31,102,10,0,17,22,8,76
3939,90,6.1,4.14,20,40,5,45,1,25,34,0,6,1,14,8,67
3940,90,4.9,4.02,20,40,18,60,4,28,32,1,4,1,20,2,60
3941,90,4.1,3.77,20,40,3,24,2,11,44,4,0,6,12,5,39
3942,90,4.7,3.04,20,40,9,68,6,31,65,54,3,42,9,15,78
3943,90,4.8,3.52,20,40,20,91,7,49,66,35,1,32,28,16,76
3944,90,5.0,3.53,20,40,15,94,5,50,67,9,1,4,16,10,143
3945,90,6.5,3.92,20,40,3,27,2,31,10,7,0,3,16,0,33
3946,90,4.6,3.35,20,40,14,71,5,68,43,7,1,11,31,10,107
3947,90,5.5,3.86,20,40,11,53,8,39,22,2,0,0,21,4,65
3948,90,4.5,3.87,20,40,18,92,7,64,46,19,0,17,40,9,86
3949,90,5.5,3.64,20,40,6,4,0,2,4,0,0,2,0,0,8
3950,90,5.0,3.8,20,40,4,33,3,37,20,2,0,2,19,3,51
3951,91,7.5,4.08,30,70,20,120,27,99,97,24,0,35,50,16,154
3952,91,8.8,3.94,30,70,4,81,22,46,73,10,0,11,12,7,104
3953,91,7.0,3.75,30,70,8,40,17,21,20,35,0,71,13,169,38
3954,91,8.5,4.1,30,70,20,70,18,104,42,9,1,12,57,44,129
3955,91,6.3,3.86,30,70,5,65,22,75,47,16,0,23,43,10,98
3956,91,8.0,3.49,30,70,10,67,19,51,53,15,0,25,23,5,74
3957,91,8.0,4.13,30,70,19,82,23,58,61,22,0,17,22,13,114
3958,91,7.0,4.02,30,70,12,88,6,85,81,6,2,7,35,21,130
3959,91,9.0,3.92,30,70,10,63,20,45,82,40,0,44,14,11,94
3960,91,7.5,4.11,30,70,8,91,41,95,60,12,1,11,19,18,160
3961,91,6.0,4.19,30,70,17,109,11,80,68,13,0,9,38,14,141
3962,91,7.5,3.53,30,70,5,59,30,49,101,17,0,41,19,5,69
3963,91,8.0,3.93,30,70,24,87,26,61,88,22,0,28,23,8,115
3964,91,6.0,4.02,30,70,18,95,7,50,81,18,0,13,29,16,132
3965,91,8.2,3.93,30,70,11,96,41,53,129,50,0,60,46,23,138
3966,91,7.0,4.04,30,70,17,84,9,52,61,12,0,16,28,7,97
3967,91,7.5,4.13,30,70,12,95,12,61,57,3,4,4,26,11,136
3968,91,6.8,3.78,30,70,15,121,12,57,73,6,0,7,28,43,122
3969,91,7.5,3.94,30,70,32,112,12,63,90,14,18,18,34,12,130
3970,91,8.0,3.94,30,70,22,102,18,65,134,26,0,76,35,11,113
3971,91,8.0,3.93,30,70,22,106,22,125,71,15,0,21,100,22,124
3972,91,10.0,4.34,30,70,7,80,72,23,73,13,0,25,5,20,67
3973,91,7.0,3.96,30,70,12,118,9,104,70,9,0,6,53,11,162
3974,91,7.0,3.89,30,70,15,87,17,63,56,9,0,8,23,9,129
3975,91,7.9,4.13,30,70,12,111,10,88,66,12,0,23,41,15,114
3976,91,6.9,3.69,30,70,24,98,18,65,79,25,0,28,17,9,117
3977,91,7.4,4.22,30,70,13,88,12,91,49,6,0,8,45,20,120
3978,91,7.6,3.74,30,70,27,96,32,82,109,27,0,48,42,22,134
3979,91,5.8,3.91,30,70,12,100,6,63,47,9,0,11,24,23,112
3980,91,8.0,3.87,30,70,20,115,24,68,105,31,0,50,33,19,138
3981,91,5.5,3.27,30,70,3,52,11,31,63,21,0,27,13,4,82
3982,91,8.5,3.74,30,70,19,86,21,45,64,22,12,25,29,7,90
3983,91,7.6,3.62,30,70,15,93,15,78,55,8,0,8,30,6,130
3984,91,8.5,4.02,30,70,16,77,9,42,57,21,0,32,24,6,76
3985,91,7.0,4.14,30,70,14,93,13,61,52,8,0,3,23,19,111
