beer_name,beer_style,brewery,abv,rating,astringent,body,alcoholic,bitter,sweet,sour,salty,fruity,hoppy,spices,malty
Indian Brown Ale,Brown Ale - American,Dogfish Head Craft Brewery,7.2%,4.12,29,113,43,155,146,36,1,34,141,8,29
Palo Santo Marron,Brown Ale - American,Dogfish Head Craft Brewery,12%,4.22,16,149,97,58,135,30,2,46,30,48,16
Tumbler Autumn Brown Ale,Brown Ale - American,Sierra Nevada Brewing Co.,5.5%,3.86,37,132,15,125,136,19,0,15,145,15,37
Best Brown Ale,Brown Ale - American,Bell's Brewery - Eccentric Café & General Store,5.8%,3.85,26,128,18,106,129,20,0,25,113,20,26
Moose Drool Brown Ale,Brown Ale - American,Big Sky Brewing Company,5.1%,3.72,33,149,16,80,155,23,0,25,87,9,33
Coffee Bender,Brown Ale - American,Surly Brewing Company,5.5%,4.18,54,144,21,350,81,23,1,18,84,11,54
Old Brown Dog,Brown Ale - American,Smuttynose Brewing Company,6.5%,3.94,15,135,22,95,156,20,0,27,111,13,15
Wilco Tango Foxtrot,Brown Ale - American,Lagunitas Brewing Company,7.85%,3.94,34,131,50,202,175,99,0,111,246,18,34
Brown Ale,Brown Ale - American,Brooklyn Brewery,5.6%,3.65,31,138,11,109,130,27,0,28,112,7,31
Ellie's Brown Ale,Brown Ale - American,Avery Brewing Company,5.5%,3.9,37,154,14,83,126,19,0,15,81,16,37
Bender,Brown Ale - American,Surly Brewing Company,5.5%,4.09,29,191,18,162,168,34,1,42,133,22,29
Sumatra Mountain Brown,Brown Ale - American,Founders Brewing Company,9%,4.3,31,169,46,266,148,13,2,12,92,28,31
Koko Brown,Brown Ale - American,Kona Brewing Co.,5.5%,3.64,16,134,23,57,143,13,0,165,60,11,16
Frangelic Mountain Brown,Brown Ale - American,Founders Brewing Company,9%,4.07,25,161,44,160,123,10,1,11,60,14,25
Pecan Ale,Brown Ale - American,Abita Brewing Co.,5.2%,3.38,18,106,20,48,99,19,0,14,63,5,18
Cabin Fever,Brown Ale - American,New Holland Brewing Company,6.5%,3.7,28,191,24,89,167,37,0,32,81,28,28
Maple Nut Brown Ale,Brown Ale - American,Tommyknocker Brewery,4.5%,3.44,20,109,14,35,338,17,0,14,38,7,20
Durty Mud Season,Brown Ale - American,Smuttynose Brewing Company,8.4%,3.97,35,165,41,273,149,93,1,96,311,16,35
Samuel Adams Hazel Brown,Brown Ale - American,Boston Beer Company (Samuel Adams),5.2%,3.61,24,122,22,73,157,6,1,6,50,17,24
Rocky's Revenge Bourbon Brown,Brown Ale - American,Tyranena Brewing Company,6%,3.74,25,132,169,44,144,19,0,24,43,30,25
Bitch Creek American Brown Ale,Brown Ale - American,Grand Teton Brewing Co.,6%,3.76,33,124,28,180,134,61,1,77,219,4,33
Bellaire Brown Ale,Brown Ale - American,Short's Brewing Company,7%,3.81,31,161,16,97,148,40,0,37,94,10,31
George,Brown Ale - American,Hill Farmstead Brewery,6%,4.14,24,135,9,174,107,29,0,32,191,9,24
